record_id,employee_id,event_type,effective_date,from_grade,to_grade,from_department,to_department
MOV-00001,MOEI-10001,Hire,2022-10-26,,1,,Human Resources
MOV-00002,MOEI-10002,Hire,2018-03-20,,1,,Energy & Clean Energy
MOV-00003,MOEI-10002,Promotion,2022-09-30,1,2,Energy & Clean Energy,Energy & Clean Energy
MOV-00004,MOEI-10002,Promotion,2026-02-15,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00005,MOEI-10003,Hire,2011-04-26,,3,,"Petroleum, Gas & Mineral Resources"
MOV-00006,MOEI-10003,Promotion,2019-07-26,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00007,MOEI-10003,Promotion,2025-03-01,4,5,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00008,MOEI-10003,Promotion,2026-04-02,5,6,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00009,MOEI-10003,Promotion,2027-04-18,6,7,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00010,MOEI-10003,Promotion,2028-05-03,7,8,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00011,MOEI-10004,Hire,2019-04-26,,3,,Infrastructure & Assets
MOV-00012,MOEI-10004,Promotion,2022-12-31,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00013,MOEI-10004,Promotion,2026-01-09,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00014,MOEI-10005,Hire,2021-06-01,,3,,Procurement & Contracts
MOV-00015,MOEI-10005,Promotion,2025-07-26,3,4,Procurement & Contracts,Procurement & Contracts
MOV-00016,MOEI-10006,Hire,2015-04-26,,1,,"Petroleum, Gas & Mineral Resources"
MOV-00017,MOEI-10006,Transfer,2024-07-29,1,1,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00018,MOEI-10006,Promotion,2025-10-05,1,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00019,MOEI-10006,Promotion,2026-10-20,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00020,MOEI-10007,Hire,2026-01-06,,4,,Legal Affairs
MOV-00021,MOEI-10008,Hire,2018-07-08,,2,,Strategy & Future Foresight
MOV-00022,MOEI-10008,Promotion,2019-09-16,2,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00023,MOEI-10008,Transfer,2024-12-10,3,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00024,MOEI-10009,Hire,2022-08-14,,1,,"Petroleum, Gas & Mineral Resources"
MOV-00025,MOEI-10009,Promotion,2024-03-18,1,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00026,MOEI-10010,Hire,2011-01-07,,1,,Strategy & Future Foresight
MOV-00027,MOEI-10010,Transfer,2014-08-10,1,1,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00028,MOEI-10010,Promotion,2020-05-27,1,2,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00029,MOEI-10010,Promotion,2024-12-14,2,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00030,MOEI-10010,Transfer,2026-03-01,3,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00031,MOEI-10010,Promotion,2027-03-17,3,4,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00032,MOEI-10011,Hire,2017-09-19,,3,,"Petroleum, Gas & Mineral Resources"
MOV-00033,MOEI-10011,Transfer,2022-01-31,3,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00034,MOEI-10011,Promotion,2024-10-09,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00035,MOEI-10012,Hire,2013-02-12,,5,,Land & Maritime Transport
MOV-00036,MOEI-10012,Promotion,2020-03-27,5,6,Land & Maritime Transport,Land & Maritime Transport
MOV-00037,MOEI-10012,Promotion,2024-09-21,6,7,Land & Maritime Transport,Land & Maritime Transport
MOV-00038,MOEI-10012,Promotion,2026-02-27,7,8,Land & Maritime Transport,Land & Maritime Transport
MOV-00039,MOEI-10012,Promotion,2027-03-14,8,9,Land & Maritime Transport,Land & Maritime Transport
MOV-00040,MOEI-10013,Hire,2021-10-25,,3,,Housing
MOV-00041,MOEI-10013,Promotion,2024-01-01,3,4,Housing,Housing
MOV-00042,MOEI-10014,Hire,2024-03-20,,2,,Information Technology
MOV-00043,MOEI-10015,Hire,2011-10-26,,2,,Customer Happiness
MOV-00044,MOEI-10015,Promotion,2021-03-08,2,3,Customer Happiness,Customer Happiness
MOV-00045,MOEI-10015,Promotion,2023-08-19,3,4,Customer Happiness,Customer Happiness
MOV-00046,MOEI-10015,Promotion,2025-04-05,4,5,Customer Happiness,Customer Happiness
MOV-00047,MOEI-10015,Promotion,2026-05-01,5,6,Customer Happiness,Customer Happiness
MOV-00048,MOEI-10016,Hire,2017-12-01,,3,,Energy & Clean Energy
MOV-00049,MOEI-10016,Promotion,2020-06-22,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00050,MOEI-10016,Promotion,2025-07-10,4,5,Energy & Clean Energy,Energy & Clean Energy
MOV-00051,MOEI-10017,Hire,2017-02-12,,1,,"Petroleum, Gas & Mineral Resources"
MOV-00052,MOEI-10017,Promotion,2018-04-08,1,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00053,MOEI-10017,Promotion,2021-04-26,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00054,MOEI-10018,Hire,2024-07-08,,2,,Energy & Clean Energy
MOV-00055,MOEI-10019,Hire,2014-08-14,,4,,Land & Maritime Transport
MOV-00056,MOEI-10019,Promotion,2016-05-29,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00057,MOEI-10019,Promotion,2017-07-05,5,6,Land & Maritime Transport,Land & Maritime Transport
MOV-00058,MOEI-10019,Promotion,2020-08-26,6,7,Land & Maritime Transport,Land & Maritime Transport
MOV-00059,MOEI-10020,Hire,2020-04-25,,3,,Energy & Clean Energy
MOV-00060,MOEI-10020,Promotion,2021-11-18,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00061,MOEI-10020,Transfer,2024-10-10,4,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00062,MOEI-10021,Hire,2020-02-12,,5,,Land & Maritime Transport
MOV-00063,MOEI-10021,Promotion,2024-08-28,5,6,Land & Maritime Transport,Land & Maritime Transport
MOV-00064,MOEI-10021,Transfer,2025-10-22,6,6,Land & Maritime Transport,Land & Maritime Transport
MOV-00065,MOEI-10022,Hire,2021-06-01,,4,,Land & Maritime Transport
MOV-00066,MOEI-10022,Promotion,2026-01-09,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00067,MOEI-10023,Hire,2024-02-12,,2,,Information Technology
MOV-00068,MOEI-10024,Hire,2023-08-14,,4,,Finance
MOV-00069,MOEI-10025,Hire,2017-10-25,,1,,Electricity & Water
MOV-00070,MOEI-10025,Promotion,2021-05-22,1,2,Electricity & Water,Electricity & Water
MOV-00071,MOEI-10025,Promotion,2022-07-04,2,3,Electricity & Water,Electricity & Water
MOV-00072,MOEI-10026,Hire,2020-02-12,,1,,Corporate Communication
MOV-00073,MOEI-10026,Promotion,2022-09-11,1,2,Corporate Communication,Corporate Communication
MOV-00074,MOEI-10026,Promotion,2026-04-16,2,3,Corporate Communication,Corporate Communication
MOV-00075,MOEI-10027,Hire,2021-07-08,,1,,Information Technology
MOV-00076,MOEI-10027,Promotion,2025-10-31,1,2,Information Technology,Information Technology
MOV-00077,MOEI-10028,Hire,2008-08-13,,3,,Customer Happiness
MOV-00078,MOEI-10028,Promotion,2017-11-22,3,4,Customer Happiness,Customer Happiness
MOV-00079,MOEI-10028,Promotion,2023-06-15,4,5,Customer Happiness,Customer Happiness
MOV-00080,MOEI-10028,Promotion,2026-01-24,5,6,Customer Happiness,Customer Happiness
MOV-00081,MOEI-10028,Transfer,2027-02-08,6,6,Customer Happiness,Customer Happiness
MOV-00082,MOEI-10028,Transfer,2028-02-23,6,6,Customer Happiness,Customer Happiness
MOV-00083,MOEI-10029,Hire,2017-01-06,,4,,Infrastructure & Assets
MOV-00084,MOEI-10029,Promotion,2020-06-25,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00085,MOEI-10029,Promotion,2022-12-30,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00086,MOEI-10029,Promotion,2024-05-22,6,7,Infrastructure & Assets,Infrastructure & Assets
MOV-00087,MOEI-10030,Hire,2021-12-01,,5,,Infrastructure & Assets
MOV-00088,MOEI-10030,Promotion,2026-04-01,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00089,MOEI-10031,Hire,2020-02-12,,2,,Corporate Communication
MOV-00090,MOEI-10031,Promotion,2023-04-21,2,3,Corporate Communication,Corporate Communication
MOV-00091,MOEI-10031,Promotion,2026-01-01,3,4,Corporate Communication,Corporate Communication
MOV-00092,MOEI-10032,Hire,2024-08-13,,2,,Corporate Communication
MOV-00093,MOEI-10033,Hire,2015-01-07,,2,,Internal Audit
MOV-00094,MOEI-10033,Promotion,2025-02-09,2,3,Internal Audit,Internal Audit
MOV-00095,MOEI-10033,Promotion,2026-04-25,3,4,Internal Audit,Internal Audit
MOV-00096,MOEI-10033,Promotion,2027-05-10,4,5,Internal Audit,Internal Audit
MOV-00097,MOEI-10034,Hire,2022-06-01,,3,,Finance
MOV-00098,MOEI-10034,Transfer,2024-09-01,3,3,Finance,Finance
MOV-00099,MOEI-10035,Hire,2014-02-12,,2,,Electricity & Water
MOV-00100,MOEI-10035,Promotion,2024-03-01,2,3,Electricity & Water,Electricity & Water
MOV-00101,MOEI-10035,Promotion,2025-05-28,3,4,Electricity & Water,Electricity & Water
MOV-00102,MOEI-10035,Promotion,2026-06-12,4,5,Electricity & Water,Electricity & Water
MOV-00103,MOEI-10035,Transfer,2027-06-27,5,5,Electricity & Water,Electricity & Water
MOV-00104,MOEI-10036,Hire,2019-09-19,,1,,Human Resources
MOV-00105,MOEI-10036,Promotion,2025-04-13,1,2,Human Resources,Human Resources
MOV-00106,MOEI-10036,Promotion,2026-05-01,2,3,Human Resources,Human Resources
MOV-00107,MOEI-10037,Hire,2020-02-12,,2,,Energy & Clean Energy
MOV-00108,MOEI-10037,Promotion,2023-12-17,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00109,MOEI-10037,Promotion,2025-05-03,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00110,MOEI-10038,Hire,2022-07-08,,5,,Electricity & Water
MOV-00111,MOEI-10038,Promotion,2024-08-12,5,6,Electricity & Water,Electricity & Water
MOV-00112,MOEI-10039,Hire,2011-01-07,,3,,Human Resources
MOV-00113,MOEI-10039,Promotion,2022-09-12,3,4,Human Resources,Human Resources
MOV-00114,MOEI-10039,Promotion,2026-02-01,4,5,Human Resources,Human Resources
MOV-00115,MOEI-10039,Promotion,2027-02-16,5,6,Human Resources,Human Resources
MOV-00116,MOEI-10039,Promotion,2028-03-02,6,7,Human Resources,Human Resources
MOV-00117,MOEI-10039,Promotion,2029-03-18,7,8,Human Resources,Human Resources
MOV-00118,MOEI-10040,Hire,2018-02-12,,3,,Electricity & Water
MOV-00119,MOEI-10040,Promotion,2024-01-22,3,4,Electricity & Water,Electricity & Water
MOV-00120,MOEI-10040,Promotion,2025-10-13,4,5,Electricity & Water,Electricity & Water
MOV-00121,MOEI-10041,Hire,2023-03-21,,1,,Energy & Clean Energy
MOV-00122,MOEI-10041,Promotion,2024-12-16,1,2,Energy & Clean Energy,Energy & Clean Energy
MOV-00123,MOEI-10042,Hire,2026-01-06,,7,,Energy & Clean Energy
MOV-00124,MOEI-10043,Hire,2020-04-25,,3,,Information Technology
MOV-00125,MOEI-10043,Promotion,2024-06-25,3,4,Information Technology,Information Technology
